tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
,44693,19503,1,,,,,40328,221-224,,,load,20220113,,
,44694,19503,1,,,,,40328,221-224,,,load,20220113,,
,44695,19503,1,,,,,40328,221-224,,,load,20220113,,
,44696,19503,1,,,,,40328,221-224,,,load,20220113,,
,50112,19509,1,,,,,40328,925-935,,,load,20220113,,
3546,5468,19567,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6588,8483,19567,0,-1,0,-1,0,,0000000,,,BDDWJ,20070627,,
8836,10699,19567,0,-1,0,-1,0,,0000000,,,load,20100825,,
1337,3299,19568,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3569,5488,19568,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6455,8358,19568,0,-1,0,-1,0,,0000000,,,BDLIUJIANG,20070519,,
8838,10701,19568,0,-1,0,-1,0,,0000000,,,load,20100825,,
6537,8437,19598,0,-1,0,-1,0,,0000000,,,BDDWJ,20070624,BDDWJ,20070624
8781,10644,19598,0,-1,0,-1,0,,0000000,,,load,20100825,,
6547,8446,19605,0,-1,0,-1,0,,0000000,,,BDLIUJIANG,20070625,,
25542,26847,19621,0,-1,0,-1,0,,0000000,,,load,20100825,,
8525,10388,19624,0,-1,0,-1,0,,0000000,,,load,20100825,,
4503,6423,19666,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6486,8386,19666,0,-1,0,-1,0,,0000000,,,BDWANGHY,20070526,BDWANGHY,20070526
8785,10648,19666,0,-1,0,-1,0,,0000000,,,load,20100825,,
3791,5713,19670,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
3792,5714,19670,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
8232,10095,19670,0,-1,0,-1,0,,0000000,,,load,20100825,,
,5713,19670,1,,,,,40328,121-130,,,load,20220113,,
3681,5601,19687,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
6494,8393,19697,0,-1,0,-1,0,,0000000,,,BDNIYU,20070608,BDNIYU,20070608
4023,5946,19699,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
8350,10213,19699,0,-1,0,-1,0,,0000000,,,load,20100825,,
8694,10557,19701,0,-1,0,-1,0,,0000000,,,load,20100825,,
8695,10558,19701,0,-1,0,-1,0,,0000000,,,load,20100825,,
8696,10559,19701,0,-1,0,-1,0,,0000000,,,load,20100825,,
5918,7812,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5919,7813,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5920,7814,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5921,7815,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5922,7816,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5923,7817,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5924,7818,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5925,7819,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5926,7820,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5927,7821,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5928,7822,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5930,7824,19880,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
,43088,19880,0,,,,,40328,145-149,,,load,20220113,,
,2301,19880,1,,,,,40328,1040-1044,,,load,20220113,,
,4443,19880,1,,,,,40328,1017-1031,,,load,20220113,,
,7821,19880,1,,,,,40328,91-93,,,load,20220113,,
,41328,19880,1,,,,,40328,49-60,,,load,20220113,,
,41329,19880,1,,,,,40328,49-60,,,load,20220113,,
,41490,19880,1,,,,,40328,61-62,,,load,20220113,,
,41594,19880,1,,,,,40328,65-68,,,load,20220113,,
,42966,19880,1,,,,,40328,136-144,,,load,20220113,,
,43587,19880,1,,,,,40328,166-179,,,load,20220113,,
,44264,19880,1,,,,,40328,3-29,,,load,20220113,,
,46918,19880,1,,,,,40328,758-762,,,load,20220113,,
,52026,19880,1,,,,,40328,1036-1038,,,load,20220113,,
,52129,19880,1,,,,,40328,1040-1044,,,load,20220113,,
,40437,19880,3,,,,,40328,3-29,,,load,20220113,,
,40438,19880,3,,,,,40328,3-29,,,load,20220113,,
,40439,19880,3,,,,,40328,3-29,,,load,20220113,,
,40440,19880,3,,,,,40328,3-29,,,load,20220113,,
,40441,19880,3,,,,,40328,3-29,,,load,20220113,,
,41026,19880,3,,,,,40328,3-29,,,load,20220113,,
,41027,19880,3,,,,,40328,34-44,,,load,20220113,,
,41028,19880,3,,,,,40328,34-44,,,load,20220113,,
,42890,19880,3,,,,,40328,136-144,,,load,20220113,,
5913,7807,19881,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5914,7808,19881,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5681,7584,19883,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
5841,7739,19886,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
9328,11192,19886,0,-1,0,-1,0,,0000000,,,load,20100825,,
9305,11169,19905,0,-1,0,-1,0,,0000000,,,load,20100825,,
8464,10327,19915,0,-1,0,-1,0,,0000000,,,load,20100825,,
6985,8879,20186,0,-1,0,-1,0,,0000000,,,BDLYH,20071116,,
6894,8787,20187,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20070922,,
6895,8788,20187,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20070922,,
6896,8789,20187,0,-1,0,-1,0,,0000000,,,BDZHOUJIA,20070922,,
6986,8879,20202,0,-1,0,-1,0,,0000000,,,BDLYH,20071116,,
22908,24408,20219,0,-1,0,-1,0,,0000000,,,load,20100825,,
10151,12011,20255,0,-1,0,-1,0,,0000000,,,load,20100825,,
7921,9826,20280,0,-1,0,-1,0,0,0000000,,,load,20100825,,
7922,9827,20280,0,-1,0,-1,0,0,0000000,,,load,20100825,,
7965,9828,20280,0,-1,0,-1,0,0,0000000,,,load,20100825,,
7915,9820,20281,0,-1,0,-1,0,,0000000,,,load,20100825,,
,52835,20281,1,,,,,40328,1082-1094,,,load,20220113,,
5794,7694,20287,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
,50571,20287,1,,,,,40328,949-951,,,load,20220113,,
,50572,20287,1,,,,,40328,949-951,,,load,20220113,,
,50603,20287,1,,,,,40328,951-953,,,load,20220113,,
,53428,20287,1,,,,,40328,1120-1128,,,load,20220113,,
,53429,20287,1,,,,,40328,1120-1128,,,load,20220113,,
5746,7646,20292,0,-1,0,-1,0,,0000000,,,TTS,20070312,,
7896,9801,20318,0,-1,0,-1,0,,0000000,,,load,20100825,,
